   Step          Temp          Press          Volume        Density         TotEng         PotEng         KinEng    
     71000   8510.8249     -2510.3494      285778.12      0.69304249    -198572.6      -204528.6       5955.998     
     72000   8271.4136      360.93445      285439.55      0.69386452    -198898.6      -204687.05      5788.4546    
     73000   8203.6092     -134.43089      285071.56      0.6947602     -199215.63     -204956.63      5741.0041    
     74000   7896.9193     -3534.5974      284638.23      0.6958179     -199522.74     -205049.11      5526.3781    
     75000   7927.6808     -1370.7985      284232.44      0.6968113     -199822.73     -205370.64      5547.9054    
     76000   7759.9665      232.418        283929.77      0.69755411    -200116.27     -205546.81      5430.5365    
     77000   7692.361       119.85856      283689.81      0.69814414    -200402.19     -205785.42      5383.2252    
     78000   7539.6365      436.6649       283440.44      0.69875837    -200680.09     -205956.43      5276.3464    
     79000   7346.139       67.214121      283239.17      0.69925488    -200950.44     -206091.38      5140.934     
     80000   7164.4586      279.99072      283056.5       0.69970615    -201212.3      -206226.09      5013.7915    
     81000   6925.1014     -3731.1855      282857.14      0.70019932    -201466.23     -206312.52      4846.2859    
     82000   6937.7647     -1009.9313      282448.65      0.70121197    -201714.45     -206569.6       4855.1478    
     83000   6912.5278     -1984.7466      282032.98      0.70224545    -201956.17     -206793.66      4837.4866    
     84000   6737.5026     -2621.4929      281766.07      0.70291066    -202191.22     -206906.22      4715.0015    
     85000   6721.9473      7.8809515      281471.94      0.70364519    -202420.74     -207124.86      4704.1157    
     86000   6472.3955     -354.41415      281147.61      0.70445692    -202644.88     -207174.36      4529.4757    
     87000   6464.4045     -2018.268       280790.38      0.70535313    -202863.43     -207387.32      4523.8835    
     88000   6240.9373      43.222484      280413.76      0.70630048    -203076.14     -207443.64      4367.4979    
     89000   6134.4204     -603.46792      279997.94      0.7073494     -203282.63     -207575.58      4292.9559    
     90000   6132.8072      1116.5542      279521.85      0.70855418    -203484.01     -207775.84      4291.8269    
     91000   5885.2229     -2220.4915      279076.91      0.70968385    -203679.57     -207798.13      4118.5639    
     92000   5979.4991     -1569.3644      278689.85      0.71066951    -203871.07     -208055.61      4184.5397    
     93000   5733.1231     -1601.2298      278216.7       0.7118781     -204056.19     -208068.31      4012.1223    
     94000   5649.8706     -1666.0823      277717.5       0.7131577     -204236.19     -208190.05      3953.8609    
     95000   5598.2281     -3176.4145      277222.65      0.71443071    -204411.99     -208329.71      3917.7208    
     96000   5456.172      -900.48512      276699.04      0.71578267    -204582.71     -208401.02      3818.3079    
     97000   5403.8547     -975.03469      276096.12      0.71734574    -204749.36     -208531.06      3781.6955    
     98000   5338.7474     -3203.7876      275448.66      0.7190319     -204912.02     -208648.15      3736.1324    
     99000   5206.9429     -335.98817      274770.29      0.72080711    -205069.94     -208713.83      3643.8938    
    100000   5180.8963     -1310.9133      274160.03      0.72241156    -205223.64     -208849.3       3625.666     
    101000   5040.9141     -1220.6359      273528.93      0.72407834    -205373.1      -208900.8       3527.7044    
    102000   4954.5904     -1925.1725      272879.86      0.72580064    -205519.04     -208986.34      3467.2938    
    103000   4921.5501     -4375.2575      272264.28      0.72744164    -205660.56     -209104.73      3444.1717    
    104000   4859.5867     -388.25838      271700.32      0.72895156    -205798.59     -209199.4       3400.8088    
    105000   4796.1248     -4354.6109      271184.65      0.73033771    -205933.5      -209289.9       3356.3973    
