#VDH_NBS 
 4940  atoms
 4  atom types
 -2.0 45.666300  xlo xhi 
 -2.0 45.666300  ylo yhi 
 -2.0 45.666300  zlo zhi 
 Masses 
 
 1  22.98900 
 2  10.81100 
 3  28.08550 
 4  15.99940 

 Atoms

      1      1 0.4725000000 10.5528200000  3.4821600000  27.1333600000 
      2      1 0.4725000000 1.7347400000  40.1546900000  23.9385300000 
      3      1 0.4725000000 41.4452800000  8.1191500000  7.2246700000 
      4      1 0.4725000000 16.0416000000  24.4365700000  39.5263800000 
      5      1 0.4725000000 13.7346500000  28.5446000000  19.9139400000 
      6      1 0.4725000000 27.8518900000  24.3212800000  18.9471500000 
      7      1 0.4725000000 11.6008900000  33.7456500000  33.7935700000 
      8      1 0.4725000000 9.4845900000  37.0244400000  11.1780900000 
      9      1 0.4725000000 27.0943100000  20.7725800000  40.4106100000 
     10      1 0.4725000000 11.6248400000  17.6206200000  24.4973900000 
     11      1 0.4725000000 3.9869400000  15.1329300000  35.6430200000 
     12      1 0.4725000000 14.5517000000  32.1573900000  17.8598500000 
     13      1 0.4725000000 6.2413000000  2.6296100000  6.4087000000 
     14      1 0.4725000000 9.2931000000  39.9597900000  20.2293900000 
     15      1 0.4725000000 14.8365500000  14.3650900000  21.5982500000 
     16      1 0.4725000000 32.0939500000  30.1219100000  30.9864800000 
     17      1 0.4725000000 40.4253800000  32.2577800000  18.4833900000 
     18      1 0.4725000000 27.9501200000  29.2890400000  19.4415200000 
     19      1 0.4725000000 40.9654100000  17.9648700000  21.6428900000 
     20      1 0.4725000000 7.1651600000  29.2602500000  17.5497800000 
     21      1 0.4725000000 39.2166600000  6.7626900000  11.2012000000 
     22      1 0.4725000000 17.6437600000  0.4156800000  0.2200000000 
     23      1 0.4725000000 23.4767100000  31.2179600000  10.7873300000 
     24      1 0.4725000000 32.1368600000  23.3298200000  19.8514600000 
     25      1 0.4725000000 9.5180400000  25.5910300000  19.4720500000 
     26      1 0.4725000000 12.5169100000  35.6041500000  21.6315000000 
     27      1 0.4725000000 12.9595200000  37.9732700000  9.5746100000 
     28      1 0.4725000000 4.0456800000  29.8956600000  17.5793100000 
     29      1 0.4725000000 27.9141500000  24.7497200000  15.8794700000 
     30      1 0.4725000000 32.7741200000  10.0304300000  3.9095400000 
     31      1 0.4725000000 15.7771100000  6.0567300000  9.5142500000 
     32      1 0.4725000000 11.1768500000  14.4104900000  32.8813600000 
     33      1 0.4725000000 38.2327700000  24.5293300000  2.3452000000 
     34      1 0.4725000000 26.2085000000  40.5290700000  13.2075700000 
     35      1 0.4725000000 1.6168700000  19.2049500000  2.0595300000 
     36      1 0.4725000000 6.8090700000  33.8797900000  42.4393500000 
     37      1 0.4725000000 13.1976400000  38.7056700000  30.3705100000 
     38      1 0.4725000000 3.3477900000  11.9538800000  20.9488400000 
     39      1 0.4725000000 20.4448400000  23.0694300000  1.0446700000 
     40      1 0.4725000000 23.7592500000  10.7189600000  38.3491000000 
     41      1 0.4725000000 12.8599400000  37.0080200000  38.7014700000 
     42      1 0.4725000000 26.2112600000  41.1431300000  23.6266700000 
     43      1 0.4725000000 37.1238500000  11.0342700000  41.6390200000 
     44      1 0.4725000000 31.8523200000  22.6687200000  23.0394800000 
     45      1 0.4725000000 39.7132300000  2.0830200000  42.0595200000 
     46      1 0.4725000000 39.8969400000  19.2517900000  3.9691400000 
     47      1 0.4725000000 14.2606400000  38.9467200000  2.6486200000 
     48      1 0.4725000000 16.4544100000  3.1567700000  10.3103800000 
     49      1 0.4725000000 12.9728700000  12.3550400000  7.8278200000 
     50      1 0.4725000000 13.1798400000  13.8611700000  13.2258500000 
     51      1 0.4725000000 24.5383600000  27.7951600000  3.6477600000 
     52      1 0.4725000000 36.7226800000  5.7614500000  12.6820800000 
     53      1 0.4725000000 10.4277100000  29.8302500000  26.6591200000 
     54      1 0.4725000000 37.9821400000  33.0353900000  34.2937900000 
     55      1 0.4725000000 3.7293100000  11.2354900000  11.1792100000 
     56      1 0.4725000000 39.6956100000  36.0222500000  7.0237200000 
     57      1 0.4725000000 8.1659500000  41.0293200000  42.3408400000 
     58      1 0.4725000000 27.8882300000  38.2554100000  17.3663400000 
     59      1 0.4725000000 6.9172900000  36.4339700000  39.3293900000 
     60      1 0.4725000000 12.1070200000  15.8803400000  30.1969800000 
     61      1 0.4725000000 22.5756500000  40.2451700000  9.5529200000 
     62      1 0.4725000000 39.4136300000  19.6321000000  24.0002700000 
     63      1 0.4725000000 41.9655300000  33.8264000000  34.6163300000 
     64      1 0.4725000000 14.4755300000  17.9795000000  33.9036600000 
     65      1 0.4725000000 8.3764100000  28.3049600000  28.5493000000 
     66      1 0.4725000000 37.7788900000  35.9998600000  15.5608000000 
     67      1 0.4725000000 23.3921500000  6.4594900000  6.7064900000 
     68      1 0.4725000000 5.9419700000  23.6974200000  15.9634100000 
     69      1 0.4725000000 22.0849300000  21.1937500000  19.7223000000 
     70      1 0.4725000000 8.2545000000  26.5347700000  0.0517200000 
     71      1 0.4725000000 34.3410200000  1.2955400000  32.8047400000 
     72      1 0.4725000000 0.3045800000  24.6067400000  18.9783600000 
     73      1 0.4725000000 1.7463000000  35.0321100000  38.2640300000 
     74      1 0.4725000000 5.8605300000  20.5054200000  4.8866600000 
     75      1 0.4725000000 16.7655600000  34.5300300000  31.6253700000 
     76      1 0.4725000000 17.4096100000  38.9748800000  40.6641700000 
     77      1 0.4725000000 23.7975600000  38.1204500000  21.3590800000 
     78      1 0.4725000000 9.2523200000  40.5215700000  31.5656700000 
     79      1 0.4725000000 31.3503400000  26.2059100000  18.4433400000 
     80      1 0.4725000000 16.5195200000  14.6653500000  3.3133300000 
     81      1 0.4725000000 34.7202300000  41.5512300000  41.2853900000 
     82      1 0.4725000000 32.6385600000  0.1244400000  2.6831700000 
     83      1 0.4725000000 24.1849800000  34.4788500000  8.4447500000 
     84      1 0.4725000000 34.2650900000  5.0132500000  41.1995300000 
     85      1 0.4725000000 23.8945700000  8.5876900000  30.2407400000 
     86      1 0.4725000000 16.1260000000  11.5344800000  33.7890200000 
     87      1 0.4725000000 36.6783800000  39.6146800000  27.8567200000 
     88      1 0.4725000000 13.5610100000  22.9267800000  11.1005500000 
     89      1 0.4725000000 31.7950100000  35.3295300000  37.8866300000 
     90      1 0.4725000000 4.0207300000  21.2817100000  2.3158300000 
     91      1 0.4725000000 7.6750000000  35.5380900000  2.2484400000 
     92      1 0.4725000000 0.1958100000  6.0099500000  41.9289700000 
     93      1 0.4725000000 21.2957200000  6.7298700000  29.9585900000 
     94      1 0.4725000000 13.3601500000  2.3776100000  5.1329500000 
     95      1 0.4725000000 23.7821700000  40.3373200000  34.5177500000 
     96      1 0.4725000000 36.5670700000  10.2336100000  26.7371200000 
     97      1 0.4725000000 2.4812700000  18.7918800000  16.6597200000 
     98      1 0.4725000000 27.0609000000  28.0479300000  41.6811400000 
     99      1 0.4725000000 18.2525300000  28.9601200000  20.4703800000 
    100      1 0.4725000000 0.5296900000  33.4135700000  3.2270200000 
    101      1 0.4725000000 2.4422900000  34.8554500000  25.5349000000 
    102      1 0.4725000000 29.4032300000  15.3757000000  8.7892000000 
    103      1 0.4725000000 15.5230500000  32.4884000000  12.8283800000 
    104      1 0.4725000000 1.0093700000  28.9895100000  8.6002500000 
    105      1 0.4725000000 41.1286200000  31.4218900000  32.7081000000 
    106      1 0.4725000000 23.9676400000  30.2940800000  5.6577000000 
    107      1 0.4725000000 24.3875900000  42.1139200000  42.1124600000 
    108      1 0.4725000000 36.5633300000  35.6751800000  33.7141400000 
    109      1 0.4725000000 42.0080200000  19.5853700000  26.0089200000 
    110      1 0.4725000000 25.9625800000  12.2637300000  36.6682100000 
    111      1 0.4725000000 1.5966400000  7.4698800000  11.2381000000 
    112      1 0.4725000000 38.8709600000  12.5122600000  22.5732500000 
    113      1 0.4725000000 2.7177100000  19.9512100000  34.7833700000 
    114      1 0.4725000000 24.6391700000  24.3640000000  29.0086500000 
    115      1 0.4725000000 28.9877900000  38.0097300000  22.9081800000 
    116      1 0.4725000000 5.2077700000  14.0346400000  32.9856600000 
    117      1 0.4725000000 35.2501900000  6.2390000000  9.8803400000 
    118      1 0.4725000000 0.4323800000  5.4502500000  3.6177700000 
    119      1 0.4725000000 22.6132600000  18.1874700000  18.4706000000 
    120      1 0.4725000000 30.7122600000  37.0555900000  31.0751900000 
    121      1 0.4725000000 3.3310500000  23.8646500000  6.3165400000 
    122      1 0.4725000000 37.9781700000  26.8651500000  17.6274800000 
    123      1 0.4725000000 34.2916900000  8.1284900000  34.0856800000 
    124      1 0.4725000000 2.3576800000  5.1755800000  35.6636400000 
    125      1 0.4725000000 32.1582900000  29.5991300000  39.0835900000 
    126      1 0.4725000000 3.0590900000  13.1427600000  40.2152700000 
    127      1 0.4725000000 34.1678200000  38.5830200000  25.8416200000 
    128      1 0.4725000000 20.2752400000  40.9515700000  30.2287400000 
    129      1 0.4725000000 4.5115200000  21.7004700000  24.0098000000 
    130      1 0.4725000000 14.4906600000  22.0053900000  24.8177800000 
    131      1 0.4725000000 32.4127400000  11.6288600000  37.0241700000 
    132      1 0.4725000000 42.5597500000  21.0523300000  4.1026100000 
    133      1 0.4725000000 29.7156300000  1.6311700000  7.8715200000 
    134      1 0.4725000000 20.6077300000  28.7229200000  25.5186600000 
    135      1 0.4725000000 29.4623500000  3.0663900000  30.4436500000 
    136      1 0.4725000000 26.8557200000  37.8894300000  9.5844700000 
    137      1 0.4725000000 0.8583500000  34.7597700000  41.1736900000 
    138      1 0.4725000000 15.6556800000  34.9421300000  42.0185700000 
    139      1 0.4725000000 39.7520100000  24.2884800000  25.6678800000 
    140      1 0.4725000000 2.3737300000  14.0314600000  7.8910800000 
    141      1 0.4725000000 10.0675000000  38.1371000000  8.3873200000 
    142      1 0.4725000000 39.4794700000  8.9789600000  37.3491400000 
    143      1 0.4725000000 19.3109300000  38.7982100000  36.6119600000 
    144      1 0.4725000000 3.6706200000  1.8990300000  18.2020700000 
    145      1 0.4725000000 37.0561000000  39.7971900000  37.8931300000 
    146      1 0.4725000000 32.2445200000  16.0998200000  12.5130500000 
    147      1 0.4725000000 22.6079700000  4.3581000000  31.7663500000 
    148      1 0.4725000000 23.0676600000  6.2176800000  9.6609700000 
    149      1 0.4725000000 35.2074300000  12.8447500000  10.4406600000 
    150      1 0.4725000000 32.1302700000  0.1885700000  40.3289500000 
    151      1 0.4725000000 23.7798500000  33.5475400000  30.1785100000 
    152      1 0.4725000000 12.8254300000  12.2443300000  22.4120500000 
    153      1 0.4725000000 16.9991200000  21.9233100000  41.3224000000 
