Row	Column2	Column3	Column4	Column5	Column6
1	1	1.0	20.28088	51.23234	17.56391
2	1	1.0	36.32487	32.04741	41.62393
3	1	1.0	9.94849	41.31127	1.83161
4	1	1.0	10.25281	27.876	9.48185
5	1	1.0	7.95046	0.19995	14.57051
6	1	1.0	19.84514	41.88045	33.3627
7	1	1.0	50.82327	35.68961	50.77801
8	1	1.0	5.82262	11.15557	44.48724
9	1	1.0	0.98771	30.29849	3.28417
10	1	1.0	27.17125	50.53746	34.36112
11	1	1.0	42.44011	34.62166	3.72296
12	1	1.0	48.6598	19.15877	50.48031
13	1	1.0	43.15395	23.35866	47.87229
14	1	1.0	41.9767	18.06132	51.46584
15	1	1.0	20.45398	32.40479	15.54343
16	1	1.0	11.67675	20.39468	37.44932
17	1	1.0	7.60568	9.34965	33.77904
18	1	1.0	46.14272	25.87329	51.07912
19	1	1.0	24.74798	19.48843	17.31189
20	1	1.0	38.58408	14.87692	11.40815
21	1	1.0	48.82477	6.97489	51.93877
22	1	1.0	10.65431	49.57284	3.20206
23	1	1.0	12.02284	13.71186	51.98707
24	1	1.0	41.02594	51.02979	6.53172
25	1	1.0	9.89249	33.16288	5.80654
26	1	1.0	4.69558	13.46571	31.33507
27	1	1.0	1.10427	12.36429	0.2839
28	1	1.0	41.20248	12.11559	11.03951
29	1	1.0	25.35129	35.92831	36.50658
30	1	1.0	30.83364	45.94476	5.74838
31	1	1.0	34.52967	51.71894	19.59131
32	1	1.0	48.63324	41.90844	1.78023
33	1	1.0	44.14163	32.8149	11.6716
34	1	1.0	41.80678	16.02683	39.95461
35	1	1.0	15.33075	46.64138	21.91995
36	1	1.0	21.7618	14.87607	3.66342
37	1	1.0	40.96737	16.06985	42.72504
38	1	1.0	35.12983	47.68952	5.77278
39	1	1.0	28.84225	1.07992	23.99343
40	1	1.0	45.53355	33.55475	31.43505
41	1	1.0	21.05412	46.03997	13.40574
42	1	1.0	42.17373	0.85132	27.81074
43	1	1.0	46.84659	45.41872	43.27981
44	1	1.0	24.49635	12.2349	39.25225
45	1	1.0	42.67537	48.68021	22.8706
46	1	1.0	45.10793	42.60891	17.69523
47	1	1.0	34.72414	6.41485	15.42957
48	1	1.0	6.03825	24.54872	37.29701
49	1	1.0	38.43282	43.82896	19.9186
50	1	1.0	50.32547	19.84834	20.83181
51	1	1.0	51.83123	47.54352	8.62
52	1	1.0	13.58985	52.72216	36.41671
53	1	1.0	32.02854	19.6739	12.58387
54	1	1.0	46.57948	48.35221	8.56393
55	1	1.0	47.48079	12.90023	14.24633
56	1	1.0	33.58216	8.39345	9.69905
57	1	1.0	25.19732	42.73618	39.26809
58	1	1.0	17.82509	8.40313	5.50317
59	1	1.0	6.01291	43.08386	23.69979
60	1	1.0	21.1072	22.54018	7.28924
61	1	1.0	16.49897	43.29052	49.71931
62	1	1.0	42.12623	33.92076	15.05484
63	1	1.0	26.08826	16.43635	21.89125
64	1	1.0	28.26378	0.08547	50.23358
65	1	1.0	51.43436	17.7037	6.8522
66	1	1.0	6.93583	7.35541	24.54797
67	1	1.0	9.01196	2.66654	4.11448
68	1	1.0	30.98816	52.52785	44.48312
69	1	1.0	31.55787	7.82594	39.24055
70	1	1.0	37.62829	34.84172	38.73093
71	1	1.0	30.74483	11.50971	39.38154
72	1	1.0	35.46021	41.04516	38.78335
73	1	1.0	2.59292	17.92643	51.48089
74	1	1.0	12.40902	12.61738	40.97243
75	1	1.0	6.72948	46.73246	51.02804
76	1	1.0	48.33829	12.2751	27.38226
77	1	1.0	20.50214	27.85594	16.66782
78	1	1.0	26.6676	35.61903	11.25189
79	1	1.0	37.2078	2.56336	26.17186
80	1	1.0	26.39597	19.36012	48.87525
81	1	1.0	16.01204	42.46903	36.47759
82	1	1.0	46.43913	20.8837	41.41854
83	1	1.0	41.42381	40.42957	33.87371
84	1	1.0	26.24493	23.43946	46.59356
85	1	1.0	2.02661	4.32728	44.85766
86	1	1.0	13.38238	41.21018	47.14064
87	1	1.0	22.92931	17.33274	44.34124
88	1	1.0	41.71568	42.69967	51.07188
89	1	1.0	41.84665	31.4825	11.2351
90	1	1.0	43.67172	25.99431	39.96419
91	1	1.0	41.19418	42.79405	35.27677
92	1	1.0	9.39263	38.63733	1.41015
93	1	1.0	32.58683	6.69029	31.0233
94	1	1.0	24.11322	41.03872	30.00318
95	1	1.0	8.84686	28.50825	15.88363
96	1	1.0	27.73593	1.88313	48.40127
97	1	1.0	4.54519	4.07212	45.05918
98	1	1.0	41.83808	15.31536	14.55087
99	1	1.0	51.88055	20.9538	36.25701
100	1	1.0	27.69252	36.82861	35.61303
101	1	1.0	40.5703	12.04232	30.85329
102	1	1.0	7.31905	24.17509	15.10291
103	1	1.0	45.00803	39.75854	44.58099
104	1	1.0	39.75115	5.06869	36.84022
105	1	1.0	48.24512	31.29906	17.25945
106	1	1.0	12.38186	20.40779	11.87415
107	1	1.0	12.99246	43.12642	13.3021
108	1	1.0	0.36072	12.54254	7.50544
109	1	1.0	6.08108	41.26972	4.75658
110	1	1.0	25.27313	34.21167	30.17554
111	1	1.0	37.24621	12.46108	0.14325
112	1	1.0	22.86066	0.00613	2.40184
113	1	1.0	33.27844	15.73352	43.90705
114	1	1.0	43.55693	22.08055	3.39155
115	1	1.0	13.58355	40.08691	3.7239
116	1	1.0	5.52135	12.53083	16.44634
117	1	1.0	8.39944	40.349	3.6389
118	1	1.0	39.12063	9.78999	39.91279
119	1	1.0	34.34477	39.80222	48.55634
120	1	1.0	14.35454	17.28333	40.99371
121	1	1.0	23.96463	13.86333	36.96487
122	1	1.0	25.83943	20.29051	44.18779
123	1	1.0	42.47951	29.54411	15.96502
124	1	1.0	44.72116	21.86482	13.912
125	1	1.0	51.07544	16.16328	45.53896
126	1	1.0	39.99831	21.32337	44.09393
127	1	1.0	16.28359	3.65016	33.76691
128	1	1.0	22.48746	23.16874	3.02658
129	1	1.0	34.24736	30.74375	4.93638
130	1	1.0	3.23171	4.85475	16.30359
131	1	1.0	45.62464	40.17363	5.53443
132	1	1.0	30.73584	51.4544	52.62749
133	1	1.0	0.54839	40.1392	49.37028
134	1	1.0	5.63285	50.1425	18.47905
135	1	1.0	22.10277	46.37367	28.67041
136	1	1.0	29.86051	42.54221	22.14935
137	1	1.0	38.33685	8.07757	5.23014
138	1	1.0	26.52792	8.77593	44.2678
139	1	1.0	13.00873	46.44615	37.00118
140	1	1.0	27.83578	12.33327	30.7249
141	1	1.0	10.89056	20.7806	29.07587
142	1	1.0	0.60395	44.72088	6.43361
143	1	1.0	30.95318	4.13414	51.01884
144	1	1.0	6.45884	27.20121	37.8836
145	1	1.0	42.10267	47.57039	36.8324
146	1	1.0	24.53805	25.3507	6.37055
147	1	1.0	52.32408	26.89894	49.84993
148	1	1.0	46.869	42.68792	36.11887
149	1	1.0	40.22464	35.37674	39.1492
150	1	1.0	44.35487	1.75367	49.13862
151	1	1.0	38.99865	8.00347	9.80652
152	1	1.0	48.14997	11.57737	44.72253
153	1	1.0	6.46787	32.72061	20.42819
154	1	1.0	12.88634	19.88805	44.53869
155	1	1.0	20.11659	37.49045	43.52875
156	1	1.0	52.2985	1.21364	38.88747
157	1	1.0	40.31725	51.02195	51.37886
